               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                 161,            0.065334,             0.75579,              1.1368,             0.73511,             0.56465,             0.66489,             0.66489,                   0,                   0,                   0,            0.006832,            0.006832,            0.006832
                 162,            0.068729,             0.73576,              1.1241,             0.66151,              0.5612,             0.64481,             0.64481,                   0,                   0,                   0,           0.0068122,           0.0068122,           0.0068122
                 163,            0.062546,             0.70845,              1.1369,             0.60151,             0.59278,             0.63445,              0.6333,                   0,                   0,                   0,           0.0067924,           0.0067924,           0.0067924
                 164,            0.062751,             0.68294,              1.1283,             0.64107,             0.61448,             0.66525,             0.66444,                   0,                   0,                   0,           0.0067726,           0.0067726,           0.0067726
                 165,            0.064098,             0.67107,              1.1341,             0.71565,             0.58247,             0.66524,             0.66524,                   0,                   0,                   0,           0.0067528,           0.0067528,           0.0067528
                 166,            0.067953,             0.67475,              1.1276,             0.70388,             0.57828,             0.68584,             0.68527,                   0,                   0,                   0,            0.006733,            0.006733,            0.006733
                 167,            0.063423,             0.68622,              1.1379,             0.75405,              0.5737,             0.67581,             0.67581,                   0,                   0,                   0,           0.0067132,           0.0067132,           0.0067132
                 168,            0.063784,             0.70116,              1.1314,             0.73693,             0.57596,             0.67484,             0.67484,                   0,                   0,                   0,           0.0066934,           0.0066934,           0.0066934
                 169,             0.06337,             0.68404,              1.1278,             0.70092,             0.55268,             0.64961,             0.64961,                   0,                   0,                   0,           0.0066736,           0.0066736,           0.0066736
                 170,            0.066029,             0.67501,              1.1285,             0.68815,             0.60165,               0.653,             0.65234,                   0,                   0,                   0,           0.0066538,           0.0066538,           0.0066538
